name,knr,density
Københavns Kommune,101,6184
Frederiksberg Kommune,147,11714
Ballerup Kommune,151,1420
Brøndby Kommune,153,1630
Dragør Kommune,155,756
Gentofte Kommune,157,2861
Gladsaxe Kommune,159,2649
Glostrup Kommune,161,1646
Herlev Kommune,163,2235
Albertslund Kommune,165,1200
Hvidovre Kommune,167,2236
Høje-Taastrup Kommune,169,619
Lyngby-Taarbæk Kommune,173,1388
Rødovre Kommune,175,3069
Ishøj Kommune,183,797
TÅrnby Kommune,185,630
Vallensbæk Kommune,187,1559
Furesø Kommune,190,673
Allerød Kommune,201,357
Fredensborg Kommune,210,352
Helsingør Kommune,217,506
Hillerød Kommune,219,226
Hørsholm Kommune,223,783
Rudersdal Kommune,230,747
Egedal Kommune,240,334
Frederikssund Kommune,250,177
Halsnæs Kommune,260,252
Gribskov Kommune,270,145
Bornholms Kommune,400,69
Greve Kommune,253,795
Køge Kommune,259,224
Roskilde Kommune,265,394
Solrød Kommune,269,523
Odsherred Kommune,306,91
Holbæk Kommune,316,120
Faxe Kommune,320,87
Kalundborg Kommune,326,80
Ringsted Kommune,329,113
Slagelse Kommune,330,135
Stevns Kommune,336,87
Sorø Kommune,340,95
Lejre Kommune,350,112
Lolland Kommune,360,50
Næstved Kommune,370,118
Guldborgsund Kommune,376,68
Vordingborg Kommune,390,73
Middelfart Kommune,410,125
Assens Kommune,420,81
Faaborg-Midtfyn Kommune,430,81
Kerteminde Kommune,440,115
Nyborg Kommune,450,113
Odense Kommune,461,634
Svendborg Kommune,479,140
Nordfyns Kommune,480,65
Langeland Kommune,482,44
Ærø Kommune,492,73
Haderslev Kommune,510,69
Billund Kommune,530,49
Sønderborg Kommune,540,153
Tønder Kommune,550,33
Esbjerg Kommune,561,152
Fanø Kommune,563,49
Varde Kommune,573,40
Vejen Kommune,575,52
Aabenraa Kommune,580,63
Fredericia Kommune,607,375
Kolding Kommune,621,148
Vejle Kommune,630,103
Horsens Kommune,615,162
Herning Kommune,657,65
Holstebro Kommune,661,71
Lemvig Kommune,665,41
Struer Kommune,671,89
Syddjurs Kommune,706,60
Norddjurs Kommune,707,53
Favrskov Kommune,710,87
Odder Kommune,727,97
Randers Kommune,730,128
Silkeborg Kommune,740,103
Samsø Kommune,741,33
Skanderborg Kommune,746,128
Aarhus Kommune,751,678
Ikast-Brande Kommune,756,55
Ringkøbing-Skjern Kommune,760,39
Hedensted Kommune,766,83
Skive Kommune,779,69
Viborg Kommune,791,66
Morsø Kommune,773,58
Thisted Kommune,787,41
Brønderslev Kommune,810,56
Frederikshavn Kommune,813,93
Vesthimmerlands Kommune,820,49
Læsø Kommune,825,15
Rebild Kommune,840,46
Mariagerfjord Kommune,846,58
Jammerbugt Kommune,849,45
Aalborg Kommune,851,179
Hjørring Kommune,860,71
